description,injuryType,bodyPart,side
miami marlins placed ss adeiny hechavarria on the 10-day disabled list. right oblique strain.,strain,oblique,right
"miami marlins placed ss adeiny hechavarria on the 15-day disabled list retroactive to april 17, 2013. right elbow contusion.",contusion,elbow,right
"miami marlins placed ss adeiny hechavarria on the 15-day disabled list retroactive to june 21, 2014. right triceps strain",strain,tricep,right
"miami marlins placed ss jt riddle on the 10-day disabled list retroactive to july 22, 2017. left biceps tendinitis.",tendinitis,bicep,left
"miami marlins placed ss jt riddle on the 10-day disabled list retroactive to march 26, 2018. right shoulder tendinitis.",tendinitis,shoulder,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,injured,arm,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,injured,ear,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,injured,forearm,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,strain,arm,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,strain,ear,right
miami marlins placed ss jt riddle on the 10-day injured list. right forearm strain.,strain,forearm,right
miami marlins placed ss miguel rojas on the 10-day injured list. right hamstring strain.,injured,hamstring,right
miami marlins placed ss miguel rojas on the 10-day injured list. right hamstring strain.,strain,hamstring,right
"milwaukee brewers placed 1b corey hart on the 15-day disabled list retroactive to march 22, 2013. recovering from january 2013 right knee surgery.",surgery,core,right
"milwaukee brewers placed 1b corey hart on the 15-day disabled list retroactive to march 22, 2013. recovering from january 2013 right knee surgery.",surgery,knee,right
milwaukee brewers placed 1b eric thames on the 10-day disabled list. right hamstring tightness,tight,hamstring,right
milwaukee brewers placed 1b eric thames on the 10-day disabled list. torn ucl in left thumb.,torn,thumb,left
milwaukee brewers placed 1b eric thames on the 10-day disabled list. torn ucl in left thumb.,torn,ucl,left
"milwaukee brewers placed 1b mat gamel on the 15-day disabled list retroactive to may 2, 2012. torn right acl.",torn,acl,right
"milwaukee brewers placed 1b travis ishikawa on the 15-day disabled list retroactive to may 26, 2012. left rib-cage strain.",strain,rib,left
"milwaukee brewers placed 2b eric sogard on the 10-day disabled list retroactive to july 5, 2017. left ankle strain.",strain,ankle,left
milwaukee brewers placed 2b jonathan villar on the 10-day disabled list. lower back strain.,strain,lower back,NA
milwaukee brewers placed 2b jonathan villar on the 10-day disabled list. sprained right thumb.,sprain,thumb,right
milwaukee brewers placed 2b nick franklin on the 10-day disabled list. right quad strain.,strain,quad,right
"milwaukee brewers placed 2b scooter gennett on the 15-day disabled list retroactive to april 20, 2015. left hand laceration",laceration,hand,left
"milwaukee brewers placed 2b scooter gennett on the 15-day disabled list retroactive to april 25, 2016. right oblique tightness.",tight,oblique,right
"milwaukee brewers placed 3b aramis ramirez on the 15-day disabled list retroactive to july 7, 2013. sprained left knee.",sprain,knee,left
"milwaukee brewers placed 3b aramis ramirez on the 15-day disabled list retroactive to may 11, 2014. strained left hamstring",strain,hamstring,left
milwaukee brewers placed 3b aramis ramirez on the 15-day disabled list. sprained left knee.,sprain,knee,left
"milwaukee brewers placed 3b taylor green on the 15-day disabled list retroactive to march 22, 2013. hip strain.",strain,hip,NA
milwaukee brewers placed 3b travis shaw on the 10-day injured list. right wrist strain.,injured,wrist,right
milwaukee brewers placed 3b travis shaw on the 10-day injured list. right wrist strain.,strain,wrist,right
milwaukee brewers placed 3b will middlebrooks on the 15-day disabled list. right lower leg strain.,strain,leg,right
"milwaukee brewers placed c andrew susac on the 10-day disabled list retroactive to march 30, 2017. trapezius injury.",injury,trapezius,NA
"milwaukee brewers placed c andrew susac on the 10-day disabled list retroactive to march 30, 2017. trapezius injury.",injury,trapezius,NA
"milwaukee brewers placed c andrew susac on the 10-day disabled list retroactive to march 30, 2017. trapezius injury.",injury,trapezius,NA
"milwaukee brewers placed c andrew susac on the 10-day disabled list retroactive to march 30, 2017. trapezius injury.",injury,trapezius,NA
milwaukee brewers placed c gregg zaun on the 15-day disabled list. right shoulder strain.,strain,shoulder,right
milwaukee brewers placed c jett bandy on the 10-day disabled list. rib fracture.,fracture,rib,NA
"milwaukee brewers placed c jonathan lucroy on the 15-day disabled list retroactive to march 22, 2011. fractured right pinkie finger.",fracture,pinkie,right
milwaukee brewers placed c jonathan lucroy on the 15-day disabled list. broken left big toe,broken,big toe,left
"milwaukee brewers placed c manny pina on the 10-day disabled list retroactive to april 13, 2018. right calf strain.",strain,calf,right
"milwaukee brewers placed c manny pina on the 10-day disabled list retroactive to july 7, 2018. left biceps strain.",strain,bicep,left
milwaukee brewers placed c manny pina on the 10-day injured list. right hamstring strain.,injured,hamstring,right
milwaukee brewers placed c manny pina on the 10-day injured list. right hamstring strain.,strain,hamstring,right
milwaukee brewers placed c mike rivera on the 15-day disabled list. sprained left ankle.,sprain,ankle,left
"milwaukee brewers placed c stephen vogt on the 10-day disabled list retroactive to march 26, 2018. right shoulder strain.",strain,shoulder,right
milwaukee brewers placed c stephen vogt on the 10-day disabled list. left knee sprain.,sprain,knee,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to april 16, 2015. right hamstring strain",strain,hamstring,right
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to august 3, 2010. concussion.",concussion,concussion,NA
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to august 3, 2010. concussion.",concussion,concussion,NA
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to august 3, 2010. concussion.",concussion,concussion,NA
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to august 3, 2010. concussion.",concussion,concussion,NA
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 5, 2012. strained left hamstring.",strain,hamstring,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
"milwaukee brewers placed cf carlos gomez on the 15-day disabled list retroactive to may 6, 2010. strained left rotator cuff.",strain, rotator cuff,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
milwaukee brewers placed cf carlos gomez on the 15-day disabled list. fractured left clavicle.,fracture,lavicle,left
"milwaukee brewers placed cf jim edmonds on the 15-day disabled list retroactive to may 16, 2010. left oblique strain.",strain,oblique,left
"milwaukee brewers placed cf jody gerut on the 15-day disabled list retroactive to may 23, 2010. bruised left heel.",bruise,heel,left
milwaukee brewers placed cf lorenzo cain on the 10-day disabled list. left groin strain.,strain,groin,left
milwaukee brewers placed lf khris davis on the 15-day disabled list. torn meniscus in his right knee,torn,knee,right
milwaukee brewers placed lf khris davis on the 15-day disabled list. torn meniscus in his right knee,torn,meniscus,right
"milwaukee brewers placed lf logan schafer on the 15-day disabled list retroactive to april 18, 2014. strained right hamstring.",strain,hamstring,right
"milwaukee brewers placed lf ryan braun on the 10-day disabled list retroactive to may 11, 2017. left calf strain.",strain,calf,left
"milwaukee brewers placed lf ryan braun on the 10-day disabled list retroactive to may 14, 2018. middle back tightness.",tight,back,NA
milwaukee brewers placed lf ryan braun on the 10-day disabled list. back strain.,strain,back,NA
milwaukee brewers placed lf ryan braun on the 10-day disabled list. left calf strain.,strain,calf,left
"milwaukee brewers placed lf rymer liriano on the 15-day disabled list retroactive to march 25, 2016. facial fractures",fracture,facial,NA
"milwaukee brewers placed lhp boone logan on the 10-day disabled list retroactive to march 26, 2018. strained left triceps.",strain,tricep,left
"milwaukee brewers placed lhp brent suter on the 10-day disabled list retroactive to july 3, 2018. left forearm tightness.",tight,arm,left
"milwaukee brewers placed lhp brent suter on the 10-day disabled list retroactive to july 3, 2018. left forearm tightness.",tight,ear,left
"milwaukee brewers placed lhp brent suter on the 10-day disabled list retroactive to july 3, 2018. left forearm tightness.",tight,forearm,left
milwaukee brewers placed lhp brent suter on the 10-day disabled list. left rotator cuff strain.,strain, rotator cuff,left
milwaukee brewers placed lhp brent suter on the 10-day disabled list. torn ucl in left elbow.,torn,elbow,left
milwaukee brewers placed lhp brent suter on the 10-day disabled list. torn ucl in left elbow.,torn,ucl,left
milwaukee brewers placed lhp brent suter on the 60-day injured list. tommy john surgery,injured,tommy john,NA
milwaukee brewers placed lhp brent suter on the 60-day injured list. tommy john surgery,surgery,tommy john,NA
milwaukee brewers placed lhp chris capuano on the 15-day disabled list. left elbow soreness,sore,elbow,left
"milwaukee brewers placed lhp chris narveson on the 15-day disabled list retroactive to april 16, 2012. left rotator cuff tear.",tear, rotator cuff,left
"milwaukee brewers placed lhp chris narveson on the 15-day disabled list retroactive to april 16, 2012. left rotator cuff tear.",tear,ear,left
"milwaukee brewers placed lhp chris narveson on the 15-day disabled list retroactive to august 7, 2011. left thumb laceration",laceration,thumb,left
milwaukee brewers placed lhp gio gonzalez on the 10-day disabled list. high left ankle sprain,sprain,ankle,left
milwaukee brewers placed lhp gio gonzalez on the 10-day injured list. left arm fatigue.,fatigue,arm,left
milwaukee brewers placed lhp gio gonzalez on the 10-day injured list. left arm fatigue.,injured,arm,left
"milwaukee brewers placed lhp manny parra on the 15-day disabled list retroactive to march 22, 2011. facet joint injury in his right back.",injury,back,right
"milwaukee brewers placed lhp mitch stetter on the 15-day disabled list retroactive to may 15, 2011. left hip injury.",injury,hip,left
"milwaukee brewers placed lhp tom gorzelanny on the 15-day disabled list retroactive to may 8, 2013. left shoulder tendinitis.",tendinitis,shoulder,left
milwaukee brewers placed lhp wade miley on the 10-day disabled list. right oblique strain.,strain,oblique,right
"milwaukee brewers placed lhp wei-chung wang on the 15-day disabled list retroactive to july 9, 2014. left shoulder tightness",tight,shoulder,left
"milwaukee brewers placed lhp will smith on the 15-day disabled list retroactive to march 25, 2016. right knee injury",injury,knee,right
"milwaukee brewers placed rf corey hart on the 15-day disabled list retroactive to august 2, 2009. recovering from an appendectomy.",appendectomy,core,NA
"milwaukee brewers placed rf corey hart on the 15-day disabled list retroactive to march 22, 2011. left oblique strain.",strain,core,left
"milwaukee brewers placed rf corey hart on the 15-day disabled list retroactive to march 22, 2011. left oblique strain.",strain,oblique,left
"milwaukee brewers placed rf domingo santana on the 15-day disabled list retroactive to june 8, 2016. right elbow soreness.",sore,elbow,right
"milwaukee brewers placed rf domingo santana on the 15-day disabled list retroactive to may 19, 2016. right shoulder strain",strain,shoulder,right
milwaukee brewers placed rf erick almonte on the 7-day disabled list. concussion,concussion,concussion,NA
"milwaukee brewers placed rf nyjer morgan on the 15-day disabled list retroactive to april 18, 2011. deep thigh bruise.",bruise,thigh,NA
milwaukee brewers placed rf nyjer morgan on the 15-day disabled list. broken middle finger on his left hand.,broken,hand,left
milwaukee brewers placed rf nyjer morgan on the 15-day disabled list. broken middle finger on his left hand.,broken,middle finger,left
"milwaukee brewers placed rf ryan braun on the 15-day disabled list retroactive to april 27, 2014. right oblique strain",strain,oblique,right
milwaukee brewers placed rhp aaron wilkerson on the 10-day injured list. left foot contusion.,contusion,foot,left
milwaukee brewers placed rhp aaron wilkerson on the 10-day injured list. left foot contusion.,injured,foot,left
"milwaukee brewers placed rhp alfredo figaro on the 15-day disabled list retroactive to june 24, 2013. right oblique strain.",strain,oblique,right
"milwaukee brewers placed rhp bobby wahl on the 10-day injured list retroactive to march 25, 2019. torn acl in right knee.",injured,acl,right
"milwaukee brewers placed rhp bobby wahl on the 10-day injured list retroactive to march 25, 2019. torn acl in right knee.",injured,knee,right
"milwaukee brewers placed rhp bobby wahl on the 10-day injured list retroactive to march 25, 2019. torn acl in right knee.",torn,acl,right
"milwaukee brewers placed rhp bobby wahl on the 10-day injured list retroactive to march 25, 2019. torn acl in right knee.",torn,knee,right
"milwaukee brewers placed rhp brandon kintzler on the 15-day disabled list retroactive to april 9, 2014. mild strain of his right rotator cuff",strain, rotator cuff,right
"milwaukee brewers placed rhp brandon kintzler on the 15-day disabled list retroactive to may 28, 2015. left patella tendinitis",tendinitis,patella,left
"milwaukee brewers placed rhp brandon kintzler on the 15-day disabled list retroactive to may 5, 2011. right triceps tendonitis.",tendonitis,tricep,right
milwaukee brewers placed rhp brandon woodruff on the 10-day injured list. strained left oblique.,injured,oblique,left
milwaukee brewers placed rhp brandon woodruff on the 10-day injured list. strained left oblique.,strain,oblique,left
milwaukee brewers placed rhp chase anderson on the 10-day disabled list. illness,illness,NA,NA
milwaukee brewers placed rhp chase anderson on the 10-day disabled list. left oblique strain.,strain,oblique,left
milwaukee brewers placed rhp chase anderson on the 10-day injured list. right middle finger laceration,injured,middle finger,right
milwaukee brewers placed rhp chase anderson on the 10-day injured list. right middle finger laceration,laceration,middle finger,right
milwaukee brewers placed rhp corbin burnes on the 10-day injured list. right shoulder irritation.,injured,shoulder,right
milwaukee brewers placed rhp corbin burnes on the 10-day injured list. right shoulder irritation.,irritation,shoulder,right
"milwaukee brewers placed rhp corey knebel on the 10-day injured list retroactive to march 25, 2019. right elbow injury.",injured,core,right
"milwaukee brewers placed rhp corey knebel on the 10-day injured list retroactive to march 25, 2019. right elbow injury.",injured,elbow,right
"milwaukee brewers placed rhp corey knebel on the 10-day injured list retroactive to march 25, 2019. right elbow injury.",injury,core,right
"milwaukee brewers placed rhp corey knebel on the 10-day injured list retroactive to march 25, 2019. right elbow injury.",injury,elbow,right
"milwaukee brewers placed rhp corey knebel on the 15-day disabled list retroactive to april 1, 2016. strained left oblique",strain,core,left
"milwaukee brewers placed rhp corey knebel on the 15-day disabled list retroactive to april 1, 2016. strained left oblique",strain,oblique,left
"milwaukee brewers placed rhp dave bush on the 15-day disabled list retroactive to june 21, 2009. right arm fatigue.",fatigue,arm,right
"milwaukee brewers placed rhp david riske on the 15-day disabled list retroactive to april 10, 2009. tight right elbow",tight,elbow,right
milwaukee brewers placed rhp freddy peralta on the 10-day injured list. sc joint injury.,injured,sc joint,NA
milwaukee brewers placed rhp freddy peralta on the 10-day injured list. sc joint injury.,injury,sc joint,NA
"milwaukee brewers placed rhp jacob barnes on the 15-day disabled list retroactive to july 26, 2016. right elbow soreness.",sore,elbow,right
"milwaukee brewers placed rhp jeff suppan on the 15-day disabled list retroactive to july 28, 2008. strained left oblique.",strain,oblique,left
"milwaukee brewers placed rhp jeff suppan on the 15-day disabled list retroactive to march 26, 2010. cervical disc pain.",disc,cervical,NA
"milwaukee brewers placed rhp jeff suppan on the 15-day disabled list retroactive to march 26, 2010. cervical disc pain.",pain,cervical,NA
"milwaukee brewers placed rhp jeremy jeffress on the 10-day injured list retroactive to march 25, 2019. right shoulder injury.",injured,shoulder,right
"milwaukee brewers placed rhp jeremy jeffress on the 10-day injured list retroactive to march 25, 2019. right shoulder injury.",injury,shoulder,right
"milwaukee brewers placed rhp jesus colome on the 15-day disabled list retroactive to august 18, 2009. right forearm strain.",strain,arm,right
"milwaukee brewers placed rhp jesus colome on the 15-day disabled list retroactive to august 18, 2009. right forearm strain.",strain,ear,right
"milwaukee brewers placed rhp jesus colome on the 15-day disabled list retroactive to august 18, 2009. right forearm strain.",strain,forearm,right
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",injured,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",injured,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",strain,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",strain,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",injured,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",injured,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",strain,lower back,NA
"milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list retroactive to june 1, 2019. lower back strain.",strain,lower back,NA
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,injured,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
milwaukee brewers placed rhp jhoulys chacin on the 10-day injured list. right oblique strain.,strain,oblique,right
"milwaukee brewers placed rhp jim henderson on the 15-day disabled list retroactive to march 27, 2015. right shoulder inflammation",inflammation,shoulder,right
milwaukee brewers placed rhp jim henderson on the 15-day disabled list. right shoulder inflammation,inflammation,shoulder,right
milwaukee brewers placed rhp jim henderson on the 15-day disabled list. strained right hamstring.,strain,hamstring,right
"milwaukee brewers placed rhp jimmy nelson on the 10-day disabled list retroactive to march 26, 2018. right shoulder inflammation.",inflammation,shoulder,right
milwaukee brewers placed rhp jimmy nelson on the 10-day disabled list. right shoulder impingement.,impingement,shoulder,right
"milwaukee brewers placed rhp jimmy nelson on the 10-day injured list retroactive to june 26, 2019. right elbow effusion.",effusion,elbow,right
"milwaukee brewers placed rhp jimmy nelson on the 10-day injured list retroactive to june 26, 2019. right elbow effusion.",injured,elbow,right
"milwaukee brewers placed rhp jimmy nelson on the 10-day injured list retroactive to march 25, 2019. right shoulder injury.",injured,shoulder,right
"milwaukee brewers placed rhp jimmy nelson on the 10-day injured list retroactive to march 25, 2019. right shoulder injury.",injury,shoulder,right
milwaukee brewers placed rhp jimmy nelson on the 60-day disabled list. head contusion,contusion,head,NA
milwaukee brewers placed rhp joakim soria on the 10-day disabled list. right quadriceps strain,strain,quad,right
milwaukee brewers placed rhp joakim soria on the 10-day disabled list. right quadriceps strain,strain,quadricep,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion, shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
"milwaukee brewers placed rhp junior guerra on the 10-day disabled list retroactive to july 8, 2017. right shin contusion.",contusion,shin,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,arm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,ear,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. right forearm tightness,tight,forearm,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
milwaukee brewers placed rhp junior guerra on the 10-day disabled list. strained right calf.,strain,calf,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp junior guerra on the 15-day disabled list retroactive to august 4, 2016. right elbow inflammation.",inflammation,elbow,right
"milwaukee brewers placed rhp latroy hawkins on the 15-day disabled list retroactive to august 11, 2010. strained right shoulder.",strain,lat,right
"milwaukee brewers placed rhp latroy hawkins on the 15-day disabled list retroactive to august 11, 2010. strained right shoulder.",strain,shoulder,right
